package,increase
ggpp,47708.4112149532710300
SparkR,23638.8435878428465500
protr,2389.1843172600270400
cNORM,862.2277535780958300
table.express,785.8976815481893100
buildmer,650.2899314707432800
ggnetwork,571.0542386054516200
babelgene,560.6945540647198100
workflowsets,555.8459849630289300
WikidataQueryServiceR,547.3496659242761700
restfulr,535.5842185128983300
perry,491.5646335270552400
robustHD,449.5389191869112500
norm,447.2525959181425100
ratelimitr,367.4331299859221000
curry,360.2153865197747100
conflicted,354.1886819954086700
tree.interpreter,324.9203075192199500
ids,324.8523153865278800
googlesheets4,323.7957409146089900
googledrive,320.3003022954522800
dtplyr,315.8482754599259500
gargle,290.3599678376238400
ssh,287.8961199567166500
ParBayesianOptimization,272.3451327433628300
rpnf,264.7650470970145300
tidytree,255.7543967911138500
thematic,244.2496132026817900
s2,238.5333373871271800
geometries,234.8255830756336500
datamods,234.1185770750988100
aplot,233.3892783098035300
pkgdown,232.2260864730187200
geojsonsf,231.1565951916829100
sloop,230.9841664079478400
textshaping,229.9608655865011100
admisc,227.5464445868033300
beeswarm,227.3758050373416400
ragg,227.2003267306514200
repurrrsive,224.6539712029726000
jsonify,222.5432193622743000
dtwclust,217.5099958637805000
sfheaders,216.1253724644366600
optimx,214.9027016814660900
geospark,212.9608657354976700
dials,212.7672351669469100
tictoc,212.0789130839382100
WikidataR,210.6929553140965700
proxy,209.9421877377148900
fresh,208.9672305690287500
hardhat,208.1313306686959300
shinyjs,205.6955111274589800
GPfit,202.9663307392131700
workflows,201.6540832206373000
DataCombine,199.6677188901810900
DiceDesign,198.8312134754211100
webfakes,195.3690876706906800
parsnip,195.0614929926589800
sparklyr.nested,193.1275349256421800
yardstick,192.4233313289236300
infer,189.4387953434130600
tune,188.9842513123906300
clusterSim,188.9822595704948600
statnet.common,188.2744229554594400
RcppThread,186.5122661400984000
lutz,186.1840653277422200
superml,185.8175006689858200
Cubist,185.6162317091567400
solrium,185.3206002728513000
arsenal,185.2163803126211100
butcher,184.7566063977746900
regclass,183.8229778722340300
js,180.8253842674667400
DMwR2,180.7465618860510800
regsem,180.7344819687985100
vtreat,180.2323730701894000
lhs,178.6462378003987800
uplift,178.0497983029628600
arulesSequences,176.1601455868971800
R2HTML,175.0634886638313500
ellipsis,174.1651899787463100
rapidjsonr,173.9485327313769800
waiter,173.9034786195517700
fastcluster,173.4389052497927900
dtw,173.2609994942761300
RAthena,172.7576181759448700
wk,170.6081865910886000
V8,170.0338517353208800
metafor,169.0471819350101000
RItools,168.7087120998249700
SeuratObject,168.6157952201868300
botor,168.4949366569636300
coneproj,166.8347041655611600
msigdbr,165.9219739913304400
tidymodels,165.7886502960842700
mgcv,165.4038734057628700
units,165.1410731479590300
network,164.3461740131153300
svd,164.0053295070206000
Rfast,163.6481521504214400
